,Title,Price,Location,Link
10,Private room for rent,850,"Waterloo, ON",https://www.facebook.com/marketplace/item/3793440237595517/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%228425896514139132%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8425896514139132%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36513125555262%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228425896514139132%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
11,2 Beds 1 Bath - House,1000,"Waterloo, ON",https://www.facebook.com/marketplace/item/2134008713662362/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%229474953842520042%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9474953842520042%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36534143747023%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229474953842520042%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
12,2 Beds 2 Baths - Apartment,500,"Kitchener, ON",https://www.facebook.com/marketplace/item/492651123774880/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%228736965946387012%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8736965946387012%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36637216634293%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228736965946387012%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
13,5 Beds 5 Baths - House,1000,"Waterloo, ON",https://www.facebook.com/marketplace/item/2430025977387928/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%2225971341005814258%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25971341005814258%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36843529250178%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225971341005814258%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
14,5 bedrooms 5 bath 3 parking entire house or 3 rooms upper  unit,1000,"Waterloo, ON",https://www.facebook.com/marketplace/item/1246072583184828/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%228617285174984907%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8617285174984907%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.3687223117881%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228617285174984907%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
15,5 Beds 2 Baths Apartment,750,"Waterloo, ON",https://www.facebook.com/marketplace/item/1629840807561542/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228208503569207918%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8208503569207918%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39320809753716%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228208503569207918%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
16,3 Beds 2 Baths Apartment,950,"Waterloo, ON",https://www.facebook.com/marketplace/item/982380417257808/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%228479797788782972%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8479797788782972%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36977491249933%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228479797788782972%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
17,2 Beds 2 Baths - Apartment,480,"Waterloo, ON",https://www.facebook.com/marketplace/item/9297942080234008/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%228694218110668226%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8694218110668226%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.37083654070378%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228694218110668226%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
18,3 Beds 1 Bath - Apartment,350,"Waterloo, ON",https://www.facebook.com/marketplace/item/893412652190635/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669518221091346%22%2C%22mf_story_key%22%3A%2226803751892603705%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26803751892603705%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.3717789499393%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226803751892603705%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
19,Private room for rent,1100,"Waterloo, ON",https://www.facebook.com/marketplace/item/1712582672854348/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%229308531049164194%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9308531049164194%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.38913466454215%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229308531049164194%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
